Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,138,508,3104872,16
DFS,mapA,YES,5,10359,38854,25165824,104
IDS,mapA,YES,5,312,421,14664728,2
A* Basica,mapA,YES,5,27,64,14664728,6
A* Avancada,mapA,YES,5,15,24,15115800,0
BFS,mapB,YES,31,184,276,15566920,0
DFS,mapB,YES,31,1202,1769,18859056,0
IDS,mapB,YES,31,8879,12271,30539776,56
A* Basica,mapB,YES,31,158,230,13394696,2
A* Avancada,mapB,YES,31,134,194,14150600,9
BFS,mapC,YES,37,13114,51940,61809936,133
DFS,mapC,YES,43,430825,1669728,232256768,2644
IDS,mapC,YES,37,832056,2911857,234383624,4529
A* Basica,mapC,YES,37,10268,39914,153110824,89
A* Avancada,mapC,YES,37,5700,21792,185616680,133
BFS,mapD,YES,79,113819,702218,781121744,2250
DFS,mapD,YES,79,2258347,13608598,876480352,59924
IDS,mapD,YES,79,51763762,306259072,631178368,1370992
A* Basica,mapD,YES,79,103674,640513,727711744,2661
A* Avancada,mapD,YES,79,57976,356082,739246080,6923
